Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex
7198,The Comedy of Errors,Comedy,Luciana,5,1,92,"She never reprehended him but mildly,",female
7199,The Comedy of Errors,Comedy,Luciana,5,1,93,"When he demean'd himself rough, rude and wildly.",female
7200,The Comedy of Errors,Comedy,Luciana,5,1,94,Why bear you these rebukes and answer not?,female
7201,The Comedy of Errors,Comedy,Adriana,5,1,95,She did betray me to my own reproof.,female
7202,The Comedy of Errors,Comedy,Adriana,5,1,96,Good people enter and lay hold on him.,female
7203,The Comedy of Errors,Comedy,Aemelia,5,1,97,"No, not a creature enters in my house.",female
7204,The Comedy of Errors,Comedy,Adriana,5,1,98,Then let your servants bring my husband forth.,female
7205,The Comedy of Errors,Comedy,Aemelia,5,1,99,"Neither: he took this place for sanctuary,",female
7206,The Comedy of Errors,Comedy,Aemelia,5,1,100,And it shall privilege him from your hands,female
7207,The Comedy of Errors,Comedy,Aemelia,5,1,101,"Till I have brought him to his wits again,",female
7208,The Comedy of Errors,Comedy,Aemelia,5,1,102,Or lose my labour in assaying it.,female
7209,The Comedy of Errors,Comedy,Adriana,5,1,103,"I will attend my husband, be his nurse,",female
7210,The Comedy of Errors,Comedy,Adriana,5,1,104,"Diet his sickness, for it is my office,",female
7211,The Comedy of Errors,Comedy,Adriana,5,1,105,And will have no attorney but myself;,female
7212,The Comedy of Errors,Comedy,Adriana,5,1,106,And therefore let me have him home with me.,female
7213,The Comedy of Errors,Comedy,Aemelia,5,1,107,Be patient; for I will not let him stir,female
7214,The Comedy of Errors,Comedy,Aemelia,5,1,108,"Till I have used the approved means I have,",female
7215,The Comedy of Errors,Comedy,Aemelia,5,1,109,"With wholesome syrups, drugs and holy prayers,",female
7216,The Comedy of Errors,Comedy,Aemelia,5,1,110,To make of him a formal man again:,female
7217,The Comedy of Errors,Comedy,Aemelia,5,1,111,"It is a branch and parcel of mine oath,",female
7218,The Comedy of Errors,Comedy,Aemelia,5,1,112,A charitable duty of my order.,female
7219,The Comedy of Errors,Comedy,Aemelia,5,1,113,Therefore depart and leave him here with me.,female
7220,The Comedy of Errors,Comedy,Adriana,5,1,114,I will not hence and leave my husband here:,female
7221,The Comedy of Errors,Comedy,Adriana,5,1,115,And ill it doth beseem your holiness,female
7222,The Comedy of Errors,Comedy,Adriana,5,1,116,To separate the husband and the wife.,female
7223,The Comedy of Errors,Comedy,Aemelia,5,1,117,Be quiet and depart: thou shalt not have him.,female
7224,The Comedy of Errors,Comedy,Luciana,5,1,118,Complain unto the duke of this indignity.,female
7225,The Comedy of Errors,Comedy,Adriana,5,1,119,"Come, go: I will fall prostrate at his feet",female
7226,The Comedy of Errors,Comedy,Adriana,5,1,120,And never rise until my tears and prayers,female
7227,The Comedy of Errors,Comedy,Adriana,5,1,121,Have won his grace to come in person hither,female
7228,The Comedy of Errors,Comedy,Adriana,5,1,122,And take perforce my husband from the abbess.,female
7229,The Comedy of Errors,Comedy,Second Merchant,5,1,123,"By this, I think, the dial points at five:",male
7230,The Comedy of Errors,Comedy,Second Merchant,5,1,124,"Anon, I'm sure, the duke himself in person",male
7231,The Comedy of Errors,Comedy,Second Merchant,5,1,125,"Comes this way to the melancholy vale,",male
7232,The Comedy of Errors,Comedy,Second Merchant,5,1,126,"The place of death and sorry execution,",male
7233,The Comedy of Errors,Comedy,Second Merchant,5,1,127,Behind the ditches of the abbey here.,male
7234,The Comedy of Errors,Comedy,Angelo,5,1,128,Upon what cause?,male
7235,The Comedy of Errors,Comedy,Second Merchant,5,1,129,"To see a reverend Syracusian merchant,",male
7236,The Comedy of Errors,Comedy,Second Merchant,5,1,130,Who put unluckily into this bay,male
7237,The Comedy of Errors,Comedy,Second Merchant,5,1,131,"Against the laws and statutes of this town,",male
7238,The Comedy of Errors,Comedy,Second Merchant,5,1,132,Beheaded publicly for his offence.,male
7239,The Comedy of Errors,Comedy,Angelo,5,1,133,See where they come: we will behold his death.,male
7240,The Comedy of Errors,Comedy,Luciana,5,1,134,Kneel to the duke before he pass the abbey.,female
7241,The Comedy of Errors,Comedy,Duke Solinus,5,1,135,"Yet once again proclaim it publicly,",male
7242,The Comedy of Errors,Comedy,Duke Solinus,5,1,136,"If any friend will pay the sum for him,",male
7243,The Comedy of Errors,Comedy,Duke Solinus,5,1,137,He shall not die; so much we tender him.,male
7244,The Comedy of Errors,Comedy,Adriana,5,1,138,"Justice, most sacred duke, against the abbess!",female
7245,The Comedy of Errors,Comedy,Duke Solinus,5,1,139,She is a virtuous and a reverend lady:,male
7246,The Comedy of Errors,Comedy,Duke Solinus,5,1,140,It cannot be that she hath done thee wrong.,male
7247,The Comedy of Errors,Comedy,Adriana,5,1,141,"May it please your grace, Antipholus, my husband,",female
7248,The Comedy of Errors,Comedy,Adriana,5,1,142,"Whom I made lord of me and all I had,",female
7249,The Comedy of Errors,Comedy,Adriana,5,1,143,"At your important letters,--this ill day",female
